song_title,lyrics
"
Come Together Lyrics","[Intro: John Lennon]
Shoot me, shoot me, shoot me, shoot me

[Verse 1: John Lennon]
Here come old flat-top, he come groovin' up slowly
He got ju-ju eyeballs, he one holy roller
He got hair down to his knee
Got to be a joker, he just do what he please

[Interlude: John Lennon]
Shoot me, shoot me, shoot me, shoot me

[Verse 2: John Lennon]
He wear no shoeshine, he got toe-jam football
He got monkey finger, he shoot Coca-Cola
He say, ""I know you, you know me""
One thing I can tell you is you got to be free

[Chorus: John Lennon]
Come together, right now
Over me

[Verse 3: John Lennon]
He bag production, he got walrus gumboot
He got Ono sideboard, he one spinal cracker
He got feet down below his knee
Hold you in his armchair, you can feel his disease

[Chorus: John Lennon]
Come together, right now
Over me

[Interlude: John Lennon]
Shoot me, shoot me
Right!

[Guitar Solo]

[Verse 4: John Lennon]
He roller-coaster, he got early warnin'
He got muddy water, he one mojo filter
He say, ""One and one and one is three""
Got to be good-lookin' 'cause he's so hard to see

[Chorus: John Lennon]
Come together, right now
Over me

[Interlude: John Lennon]
Shoot me, shoot me, shoot me, shoot me
Ugh!

[Outro: John Lennon]
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
[Fade-out]
Come together, yeah
Come together..."
"
Something Lyrics","[Verse 1]
Something in the way she moves
Attracts me like no other lover
Something in the way she woos me
I don't want to leave her now
You know I believe and how

[Verse 2]
Somewhere in her smile she knows
That I don't need no other lover
Something in her style that shows me
I don't want to leave her now
You know I believe and how

[Bridge]
You're asking me will my love grow
I don't know, I don't know
You stick around and it may show
I don't know, I don't know

[Solo]

[Verse 3]
Something in the way she knows
And all I have to do is think of her
Something in the things she shows me
I don't want to leave her now
You know I believe and how"
"
Maxwell's Silver Hammer Lyrics","[Verse 1]
Joan was quizzical; studied pataphysical
Science in the home
Late nights all alone with a test tube
Oh, oh, oh, oh
Maxwell Edison, majoring in medicine
Calls her on the phone
""Can I take you out to the pictures
Joa, oa, oa, oan?""
But as she's getting ready to go
A knock comes on the door

[Chorus]
Bang! Bang! Maxwell's silver hammer
Came down upon her head
Bang! Bang! Maxwell's silver hammer
Made sure that she was dead

[Verse 2]
Back in school again Maxwell plays the fool again
Teacher gets annoyed
Wishing to avoid an unpleasant
Sce, e, e, ene
She tells Max to stay when the class has gone away
So he waits behind
Writing 50 times ""I must not be
So, o, o, o""
But when she turns her back on the boy
He creeps up from behind

[Chorus]
Bang! Bang! Maxwell's silver hammer
Came down upon her head
Bang! Bang! Maxwell's silver hammer
Made sure that she was dead

[Verse 3]
P. C. 31 said, ""We caught a dirty one.""
Maxwell stands alone
Painting testimonial pictures
Oh, oh, oh, oh
Rose and Valerie, screaming from the gallery
Say he must go free
(Maxwell must go free)
The judge does not agree and he tells them
So, o, o, o
But as the words are leaving his lips
A noise comes from behind

[Chorus]
Bang! Bang! Maxwell's silver hammer
Came down upon his head
Bang! Bang! Maxwell's silver hammer
Made sure he was dead"
"
Oh! Darling Lyrics","[Verse 1]
Oh! Darling, please believe me
I’ll never do you no harm
Believe me when I tell you
I’ll never do you no harm

[Verse 2]
Oh! Darling, if you leave me
I’ll never make it alone
Believe me when I beg you
Don’t ever leave me alone

[Chorus]
When you told me you didn’t need me anymore
Well you know I nearly broke down and cried
When you told me you didn’t need me anymore
Well you know I nearly fell down and died

[Verse 3]
Oh! Darling, if you leave me
I’ll never make it alone
Believe me when I tell you
I’ll never do you no harm

[Chorus]
When you told me you didn’t need me anymore
Well you know I nearly fell down and cried
When you told me you didn’t need me anymore
Well you know I nearly fell down and died

[Verse 4]
Oh! Darling, please believe me
I’ll never let you down
(Oh! Believe me darling)
Believe me when I tell you
I’ll never do you no harm"
"
Octopus's Garden Lyrics","[Chorus]
I’d like to be under the sea
In an octopus’s garden in the shade

[Verse 1]
He’d let us in, knows where we’ve been
In his octopus’s garden in the shade
I’d ask my friends to come and see
An octopus’s garden with me

[Chorus]
I’d like to be under the sea
In an octopus’s garden in the shade

[Verse 2]
We would be warm below the storm
In our little hide-a-way beneath the waves
Resting our head on the sea bed
In an octopus’s garden near a cave
We would sing and dance around
Because we know we can’t be found

[Chorus]
I’d like to be under the sea
In an octopus’s garden in the shade

[Verse 3]
We would shout and swim about
The coral that lies beneath the waves
Oh what joy for every girl and boy
Knowing they’re happy and they’re safe
We would be so happy, you and me
No-one there to tell us what to do

[Chorus]
I’d like to be under the sea
In an octopus’s garden in the shade
I’d like to be under the sea
In an octopus’s garden with you"
"
I Want You (She's So Heavy) Lyrics","[Verse]
I want you
I want you so bad
I want you
I want you so bad
It's driving me mad
It's driving me mad
I want you
I want you so bad
I want you
I want you so bad
It's driving me mad
It's driving me...
I want you
I want you so bad
I want you
I want you so bad
It's driving me mad
It's driving me mad
I want you
I want you so bad
I want you
I want you so bad
It's driving me mad
It's driving me...

[Chorus]
She's so heavy
Heavy, heavy, heavy, heavy

[Guitar Solo]

[Chorus]
She's so heavy
She's so heavy,  heavy, heavy

[Verse]
I want you
I want you so bad
I want you
I want you so bad
It's driving me mad
It's driving me mad
I want you
You know I want you so bad Babe
I want you
You know I want you so bad
It's driving me mad
It's driving me mad

[Chorus]
Yeahhhh!
She's so...

[Instrumental Outro]"
"
Here Comes the Sun Lyrics","[Intro]
Here comes the sun (doo doo doo doo)
Here comes the sun, and I say
It's all right

[Verse 1]
Little darling, it's been a long cold lonely winter
Little darling, it feels like years since it's been here
Here comes the sun
Here comes the sun, and I say
It's all right

[Verse 2]
Little darling, the smiles returning to the faces
Little darling, it seems like years since it's been here
Here comes the sun
Here comes the sun, and I say
It's all right

[Bridge]
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes

[Verse 3]
Little darling, I feel that ice is slowly melting
Little darling, it seems like years since it's been clear
Here comes the sun
Here comes the sun, and I say
It's all right

[Outro]
Here comes the sun
Here comes the sun
It's all right
It's all right"
"
Because Lyrics","[Verse 1]
Because the world is round it turns me on
Because the world is round

[Verse 2]
Because the wind is high it blows my mind
Because the wind is high

[Bridge]
Love is old, love is new
Love is all, love is you

[Verse 3]
Because the sky is blue, it makes me cry
Because the sky is blue"
"
You Never Give Me Your Money Lyrics","[Verse 1]
You never give me your money
You only give me your funny paper
And in the middle of negotiations
You break down

[Verse 2]
I never give you my number
I only give you my situation
And in the middle of investigation
I break down

[Verse 3]
Out of college, money spent
See no future, pay no rent
All the money's gone, nowhere to go
Any job, I got the sack
Monday morning, turning back
Yellow lorry slow, nowhere to go
But oh, that magic feeling, nowhere to go
Oh, that magic feeling, nowhere to go

[Verse 4]
One sweet dream
Pick up the bags and get in the limousine
Soon we'll be away from here
Step on the gas and wipe that tear away
One sweet dream came true...today
Came true...today
Came true... today...yes it did
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven"
"
Sun King Lyrics","[Chorus]
Oooh, here comes the sun king
Here comes the sun king

[Verse 1]
Everybody's laughing
Everybody's happy

[Chorus]
Here comes the sun king

[Verse 2]
Quando para mucho mi amore de felice corázon
Mundo paparazzi mi amore chicka ferdy parasol
Cuesto obrigado tanta mucho que canite carousel"
