song_title,lyrics
"
Mother's Little Helper Lyrics","[Intro]
What a drag it is getting old

[Verse 1]
Things are different today"", I hear every mother say
Mother needs something today to calm her down
And though she's not really ill, there's a little yellow pill

[Refrain]
She goes running for the shelter of her mother's little helper
And it helps her on her way, gets her through her busy day

[Verse 2]
""Things are different today"", I hear every mother say
Cooking fresh food for a husband's just a drag
So she buys an instant cake and she burns a frozen steak

[Refrain]
And goes running for the shelter of her mother's little helper
And to help her on her way, get her through her busy day

[Chorus]
Doctor, please, some more of these
Outside the door, she took four more
What a drag it is getting old

[Verse 3]
""Men just aren't the same today"", I hear every mother say
""They just don't appreciate that you get tired""
""They're so hard to satisfy"", you can tranquilize your mind

[Refrain]
So go running for the shelter of your mother's little helper
And four help you through the night, help to minimize your plight

[Chorus]
Doctor, please, some more of these
Outside the door, she took four more
What a drag it is getting old

[Verse 4]
""Life's just much too hard today"", I hear ev'ry mother say
The pursuit of happiness just seems a bore
And if you take more of those, you will get an overdose

[Refrain]
No more running for the shelter of a mother's little helper
They just helped you on your way through your busy dying day

Hey"
"
Stupid Girl Lyrics","[Verse 1]
I'm not talking about the kind of clothes she wears
Look at that stupid girl
I'm not talking about the way she combs her hair
Look at that stupid girl

The way she powders her nose
Her vanity shows and it shows
She's the worst thing in this world
Well, look at that stupid girl

[Verse 2]
I'm not talking about the way she digs for gold
Look at that stupid girl
Well, I'm talking about the way she grabs and holds
Look at that stupid girl

The way she talks about someone else
That she don't even know herself
She's the sickest thing in this world
Well, look at that stupid girl

[Chorus]
Well, I'm sick and tired and I really have my doubts
I've tried and tried, but it never really works out

[Verse 3]
Like a lady-in-waiting to a virgin queen
Look at that stupid girl
She bitches about things that she's never seen
Look at that stupid girl

It doesn't matter if she dyes her hair
Or the color of the shoes she wears
She's the worst thing in this world
Well, look at that stupid girl

[Guitar Break]

[Verse 4]
Like a lady-in-waiting to a virgin queen
Look at that stupid girl
She bitches about things that she's never seen
Look at that stupid girl

And she purrs like a pussycat
Then she turns around and hisses back
She's the sickest thing in this world
Look at that stupid girl"
"
Lady Jane Lyrics","[Verse 1]
My sweet Lady Jane, when I see you again
Your servant am I and will humbly remain
Just heed this plea, my love
On bended knees, my love
I pledge myself to lady Jane

[Verse 2]
My dear lady Anne, I've done what I can
I must take my leave for promised I am
This play is run, my love
Your time has come, my love
I pledge my troth to lady Jane

[Verse 3]
Oh my sweet Marie, I wait at your eaves
The sands have run out for your lady and me
When luck is nigh, my love
Her station's right, my love
Life is secure with lady Jane"
"
Under My Thumb Lyrics","[Verse 1]
Under my thumb the girl who once had me down
Under my thumb the girl who once pushed me around

[Chorus]
It's down to me
The difference in the clothes she wears
Down to me, the change has come
She's under my thumb

Say it's all right

[Verse 2]
Under my thumb the squirming dog who's just had her day
Under my thumb a girl who has just changed her ways

[Chorus]
It's down to me, yes it is
The way she does just what she's told
Down to me, the change has come
She's under my thumb

Ah, ah, say it's alright

[Verse 3]
Under my thumb a Siamese cat of a girl
Under my thumb she's the sweetest, hmmm, pet in the world

[Chorus]
It's down to me
The way she talks when she's spoken to
Down to me, the change has come
She's under my thumb

[Instrumental Break]
Ah, take it easy babe

[Chorus]
It's down to me, oh yeah
The way she talks when she's spoken to
Down to me, the change has come
She's under my thumb

Yeah, it feels alright

[Verse 4]
Under my thumb her eyes are just kept to herself
Under my thumb, well I, I can still look at someone else

[Chorus]
It's down to me, oh that's what I said
The way she talks when she's spoken to
Down to me, the change has come
She's under my thumb

[Outro]
Say, it's alright
Say it's all...
Say it's all...

Take it easy babe
Take it easy babe
It feels alright
Take it, take it easy, babe"
"
Doncha Bother Me Lyrics","[Chorus]
I said, Oh no, don't you follow me no more
I said, Oh no, don't you follow me no more
Well, I'm looking for my face and I got no place to go

[Chorus]
I said, Oh no, don't you follow me no more
I said, Oh no, don't you follow me no more
Well, pick your own mind and don't you touch mine no more

[Verse 1]
Still waiting here for a single idea
In your clothes and your hair, I wore it last year
Oh no, don't you follow me no more

[Chorus]
I said, Oh no, don't you copy me no more
I said, Oh no, don't you copy me no more
Well, the lines around my eyes are protected by a copyright law

[Verse 2]
Well, all the clubs and the bars and the little red cars
Not knowing why, but trying to get high
Oh no, don;t you follow me no more

Don't you follow, don't you follow"
"
Goin' Home Lyrics","[Verse 1]
Spending too much time away
I can't stand another day
Maybe you'd think I've seen the world
But I'd rather see my girl

[Chorus]
I'm going home
I'm going home
I'm going home
I'm going home

I'm going home, bom, bom, bom, b-bom
Home, bom, bom, bom - back home
Yes I am

[Verse 2]
All those letters every day
May be all right in their way
But I'd love to see your face
When I get home in their place

[Chorus]
I'm going home
I'm going home
I'm going home
I'm going home

I'm going home, bom, bom, bom, b-bom
Home, bom, bom, bom - back home

Yes I am
All right

[Chorus]
I'm going home
I'm going home
I'm going home
I'm going home

I'm going home, bom, bom, bom, b-bom
Home, bom, bom, bom - back home
Yes I will

[Verse 3]
When you're 3000 miles away
I just never sleep the same
If I packed my things right now
I could be home in 7 hours

[Chorus]
I'm going home
I'm going home
I'm going home
I'm going home

I'm going home, bom, bom, bom, b-bom
Home, bom, bom, bom - back home
Yes I will

[Ad-lib]
Yes I will
See my baby
See my baby
I want to see my girl
I just can't wait
I just can't wait
I just can't wait
I just can't wait

I just can't wait
I just can't wait
I just can't wait
I just can't wait, yeah, yeah

I just can't wait
See my baby
She'll make me feel all right
My, my, my, my, my
My, my, my, my, my
My, my, my, my, ha...
Got to, got to, got to, got to, got to
See my baby
She make me feel so good
She make me feel all right, all right, all right, all right, all right
Yes she does, in the middle of the night

So good, so good, so good, so good, so tough, so tough, so ta-ta-ta-ta...
I feel all right
Feel all right
Come on, baby
I'm going to get home
I'm going to get home
I'm going to get home
I'm going to get home, baby
I'm going to get home, baby
I'm going to get home, baby
Get home, honey, get home
...shucks
I feel all right
Cha, cha, my baby
I'm looking for my baby
Going to go in the early morning, baby
Early in the morning
Early in the morning
Going to catch that plane
I'm going to catch that plane
Now it won't be long, I said, listen to me
It won't be long, no, no
No, it won't be long, baby
It won't be long
It won't be long
It won't be long, long, long
A long, long time since I've seen my baby
Yes it is
It's such a, such a, such a, such a, such a, such a long, long time
Long, long time
Long, long time
Long, long time
Long, long - long, long time
Yes it is
Yes, yes, yes, yes, yes, yes, yes, yes, yes

I feel all right
I'm going to see my baby one more time
Get home, get home, get home
Get, get home
I got to, I got to get home, baby
I got to get home, baby
I want to see my darling, I want to make sweet, sweet love
Ah sweet, sweet love
Ah sweet, sweet love
Ah sweet, sweet, ah sweet love to you, baby
In the middle of the night
Early in the morning
Early in the morning
Early in the morning
Early in the morning
Oh in the midnight hour
She'll make me feel so good
She'll make me feel all right
She make me feel so good
So good
So good
When she touch my hand
That's all I got to say
Cause I'm going to pack my bags

Ah la la la
Sha la la la
Sha la la
Ah come on
I want to see you, baby
See your face
See your face
Your pretty little smile
Your pretty little smile
Your pretty little smile
Your pretty little smile
Your pretty little smile
Your pretty clothes
Hear you talk
Hear you talk
Hear you talk
Hear you talk
Hear you talk

Come on
Come on
Come on
Ah come on
Ah come on
Ah come on
I'll see my baby
I'm going home
I'm going home
I'm going home
I'm getting out
I'm getting out
I'm getting out
Getting out
Getting out...

I feel so good seeing your face
Making love to you, baby
Yes it makes me feel so good
Inside, inside, inside
I feel so good inside
Feel so good inside
I feel so good inside

Come on, touch me one more time
Touch me one more time
Touch me one more time
Touch me one more, one more

Come on, little girl, you may look sweet
You may look sweet
But I know you ain't
But I know you ain't
But I know you ain't"
"
Flight 505 Lyrics","[Verse]
Well I was happy here at home, I've got everything I need
Happy being on my own, just living the life I lead
Well suddenly it dawned on me that this was not my life
So I just phoned the airline girl and said...

[Refrain]
Get me on flight number 505
Get me on flight number 505

[Verse 2]
Well I confirmed my reservation, then I hopped a cab
No idea of my destination and feeling pretty bad
With my suitcase in my hand and in my head my new life
So then I told the airline girl, Well...

[Refrain]
Get me on flight number 505
Get me on flight number 505

All right

[Verse 3]
Well I sat right there in my seat, well, feeling like a king
With the whole world right at my feet, Of course I'll have a drink
Well suddenly I saw that we never ever would arrive
He put the plane down in the sea

[Refrain]
The end of flight number 505
The end of flight number 505

All right

They put the plane down in the sea

[Refrain]
The end of flight number 505
The end of flight number 505"
"
High And Dry Lyrics","[Verse 1]
High and dry well, I'm up here with no warning
High and dry well, I couldn't get a word in
High and dry oh, what a way to go
She left me standing here just high and dry

[Verse 2]
A minute I was up there standing by her side
The next I was down there, well, left out of the ride
High and dry, oh what a way to go
She left me standing here just high and dry

[Verse 3]
Anything I wished for I only had to ask her - yes
I think she found out it was money I was after
High and dry, oh what a weird letdown
She left me standing here just high and dry

All right

[Verse 4]
Well, it's lucky that I didn't have any love towards her
Next time I'll make sure that the girl will be much poorer
High and dry, oh what a way to go
She left me standing here just high and dry

[Verse 5]
High and dry, well, I'm up here with no warning - yes
High and dry, well, I couldn't get a word in
High and dry, oh what a way to go
She left me standing here just high and dry

[Outro]
Well she left me standing here just high and dry
Well she left me standing here just high and dry"
"
Out of Time Lyrics","[Verse 1]
You don't know what's going on
You've been away for far too long
You can't come back and think you are still mine

[Pre-Chorus]
You're out of touch, my baby
My poor discarded baby
I said, baby, baby, baby, you're out of time

[Chorus]
Well, baby, baby, baby, you're out of time
I said, baby, baby, baby, you're out of time
You are all left out
Out of there without a doubt
Baby, baby, baby, you're out of time

[Verse 2]
The girl who wants to run away
Discovers that she's had her day
It's no good your thinking that you are still mine

[Pre-Chorus]
You're out of touch, my baby
My poor unfaithful baby
I said baby, baby, baby, you're out of time

[Chorus]
Well baby, baby, baby, you're out of time
I said baby, baby, baby, you're out of time
Yes, you are left out
Out of there without a doubt 'cause
Baby, baby, baby, you're out of time

[Verse 3]
You thought you were a clever girl
Giving up your social whirl
But you can't come back and be the first in line, oh no

[Pre-Chorus]
You're obsolete my baby
My poor old-fashioned baby
I said baby, baby, baby, you're out of time

[Chorus]
Well baby, baby, baby, you're out of time
I said baby, baby, baby, you're out of time
Yes, you are left out
Out of there without a doubt 'cause
Baby, baby, baby, you're out of time

Sing the song now...

Baby, baby, baby, you're out of time
I said baby, baby, baby, you're out of time
Baby, baby, baby, you're out of time

[Verse 4]
You don't know what's going on
You've been away for much too long
But you can't come back and think you are still mine

[Pre-Chorus]
You're out of touch, my baby
My poor discarded baby
I said Baby, baby, baby, you're out of time

[Chorus]
Well baby, baby, baby, you're out of time
I said baby, baby, baby, you're out of time
Yes, you are left out, yes you are
I said no, out of there without a doubt 'cause
Baby, baby, baby, you're out of time

[Outro]
I said baby, baby, baby, you're out of time
I said baby, baby, baby, you're out of time
I said baby, baby, baby, you're out of time
I said baby, baby, baby, you're out of time
I said baby, baby, baby, you're out of time
I said baby, baby, baby, you're out of time
I said baby, baby, baby, you're..."
"
It's Not Easy Lyrics","[Intro]
It's not easy
It's not easy living on your own
It's not easy
It's not easy living on your own

[Chorus]
And it's hard (it's not easy)
And it's hard (it's not easy)
And it's a pretty hard, baby (it's not easy)
It's not easy living on your own

[Verse 1]
All of the things that you used to do
If they're done now, well, they're done by you
It seems a big failing in a man
To take his girl for granted if he can

[Chorus]
And it's hard (it's not easy)
And it's hard (it's not easy)
And it's a pretty hard, baby (it's not easy)
It's not easy living on your own

[Verse 2]
There's no place where you can call home
Got me running like a cat in a thunder storm
Just a big bed and a telephone
Like the last remnants of a stately home

[Chorus][x2]
And it's hard (it's not easy)
And it's hard (it's not easy)
And it's a pretty hard, baby (it's not easy)
It's not easy living on your own

[Verse 3]
Sit here thinking with your head of fire
Go think the same thing and never tire
Imagining the glow of her long clean hair
As she goes to sit on her own high chair

[Chorus]
And it's hard (it's not easy)
And it's hard (it's not easy)
And it's a pretty hard, baby (it's not easy)
It's not easy living on your own

[Outro]
It's not easy - a pretty tough thing
It's not easy - well, life's pretty rough
It's not easy - it's a hard time baby
It's not easy - it's a hard time baby
It's not easy - it's pretty hard..."
