song_title,lyrics
"
Route 66 Lyrics","[Intro]
Well if you ever plan to motor west
Just take my way that is the highway that is the best

[Verse]
Get your kicks on Route 66
Well it winds from Chicago to L.A
More than 2000 miles all the way
Get your kicks on Route 66

[Chorus][x2]
Well goes from St. Louie down to Missouri
Oklahoma city looks oh so pretty
You will see Amarillo and Gallup, New Mexico
Flagstaff, Arizona, don't forget Winona
Kingman, Barstow, San Bernardino
Would you get hip to this kindly tip
And go take that California trip
Get your kicks on Route 66"
"
I Just Want To Make Love To You Lyrics","[Verse 1-Mick Jagger]
I don't  want you be no slave
I don't  want you work all day
I don't  want cause I am sad and blue
I just want to make love to you, baby

[Chorus-Mick Jagger]
Love to you, baby
Love to you, baby
Love to you

[Verse 2-Mick Jagger]
I don't  want you cook my bread
I don't t want you make my bed
I don't  want your money too
I just want to make love to you, baby

[Chorus-Mick Jagger]
Love to you, baby
Love to you, baby
Love to you

[Verse 3-Mick Jagger]
Cause I can tell by the way that you twitch and walk
See by the way that you baby talk
Know by the way that you treat your man
I can love you, baby, till the night train
I don't want you wash my clothes
I don't want you leave the home
I don't want cause I am sad and blue
I just want to make love to you, baby

[Chorus-Mick Jagger]
Love to you, baby
Love to you, baby
Love to you

[Verse 3-Mick Jagger]
I don't want you wash my clothes
I don't want you leave the home
I don't want cause I am sad and blue
I just want to make love to you, baby

[Chorus-Mick Jagger]
Love to you, baby
Love to you, baby
Sweet love to you, baby

[Chorus-Mick Jagger]
Love to you, baby
I just want to make love to you, baby
Love to you, baby
Love to you, baby
Love to you

[Outro-Mick Jagger]
I just, I just want to make love to you, baby
I just want to make"
"
Honest I Do Lyrics","[Verse 1]
Do you know that I love you
Honest I do
I will never please
No one but you

[Chorus]
Please tell me you love me
Stop driving me mad

[Verse 2]
You the sweetest little woman
That I ever had

[Chorus]

[Outro]
When I woke up this morning
Never felt so bad"
"
Mona (I Need You Baby) Lyrics","[Intro]
I say hey, Mona
Oh, Mona
I say yeah, yeah, yeah, yeah, Mona
Oh, Mona

[Chorus][x2]
I tell you Mona what I want to do
I will build a house next door to you
Can I see you sometimes?
We can blow kisses through the blinds
Yeah can I out come out on the front
And listen to my heart go bumped bump
I need you baby that is no lie
Without your love I would surely die
I say hey, Mona
Oh, Mona
I say yeah, yeah, yeah, yeah, Mona
Oh, Mona
I say hey, hey Mona
Oh, Mona
I say yeah, yeah, yeah, yeah, Mona
Oh, Mona"
"
Little By Little Lyrics","[Verse 1]
Tried to trail you last night, baby, trail you in my car
But I was afraid of what I was looking for

[Chorus]
And little by little I am losing my love for you
Yeah, little by little I have found out you was untrue

[Verse 2]
Alright, Keith, come on, now
Well I try not to bear a grudge, a girl is going to hitch a ride
Things have not been the same since my mother died

[Chorus]
Yeah, little by little, I am losing my love for you
Yeah, little by little I have found out you was untrue"
"
I'm A King Bee Lyrics","[Chorus]
Well I am a king bee
Buzzing around your hive
Well I am a king bee, baby
Buzzing around your hive
Yeah I can make honey baby
Let me come inside

[Verse 1]
Well I am a king bee
Want you to be my queen
Well I am a king bee, baby
Want you to be my queen
Together we can make honey
The world has never seen
Well, buzz a while
Sting you bad

[Chorus]
Well I am a king bee
Can buzz all night long
Well I am a king bee, baby
Can buzz all night long
Yeah I can buzz better baby
When your man is gone"
"
Carol Lyrics","[Chorus]
Oh, Carol
Do not let him steal your heart away
I am going to learn to dance
If it takes me all night and day

[Verse]
Climb into my machine so we can groove on out
I know some swinging little joint where we can jump and shout
It is not too far back on the highway not so long a ride
You park the car out in the open you can walk inside
A little cutie takes your hat and you can thank her ma'am
Because every time you make the scene you find the joint is jammed
Oh, Carol
Do not let him steal your heart away
I am going to learn to dance
If it takes me all night and day
Now, if you want to hear some music like the boys are playing
Hold tight, bang your foot do not let it carry you away
Do not let the heat overcome you when they play so loud
Will the music intrigue you when they get a crowd
Well you cannot dance I know you would you could
I got my eyes on you, baby, cause you dance so good

[Chorus][x2]"
"
Tell Me Lyrics","[Intro]
I want you back again
I want your love again
I know you find it hard to reason with me
But this time it is different, darling you will see

[Chorus]
You got to tell me you are coming back to me[x4]

[Verse 1]
You said we are through before
You walked out on me before
I tried to tell you, but you did not want to know
This time you are different and determined to go

[Chorus]

[Verse 2]
I wait as the days go by
I long for the nights to go by
I hear the knock on my door that never comes
I hear the telephone that has not rung

[Chorus]"
"
Can I Get A Witness Lyrics","[Intro]
Ah ah listen to everybody (body)
Especially you girls (girl)

[Verse 1]
It is not right to be left alone
When the one you love is never home
I loved to hard my friends sometime say
But I believe, I believe
That a woman should be loved that way
But it hurts me so inside
To see you treat me so unkind
Somebody, somewhere tell her it is not fair

[Chorus]
Can I get a witness (can I get a witness)
I want a witness (can I get a witness)
I want a witness (can I get a witness)
Somebody (can I get a witness)
Is it right to be treated so bad
When you give it everything you had

[Verse 2]
If I talks in my sleep
Because I have not seen my baby all week
Now you chicks you all agree
This is no the way it is supposed to be
Let me hear you
Let me hear you say, yeah, yeah
Up early in the morning
Well they are all in my mind
Just to find her out all night
Well I have been crying
But I believe
A women is a man's best friend
I am going to stick by her
Until the very end
Well she caused me so much misery
I forget how it is supposed to be
Somebody, somewhere
Tell her it is no fair

[Chorus]
Can I get a witness
Can I get a witness (can I get a witness)
I want a witness (can I get a witness)
Witness, witness (can I get a witness)
Witness, witness (can i get a witness)

[Verse 3]
Everybody knows, especially you girls
That a love can be sad
But half a loves is twice as bad
Now you chicks you all agree
That is not the way love is supposed to be
Let me hear you
Let me hear you say yeah, yeah

[Chorus]
I want a witness (can I get a witness)
I want a witness (can I get a witness)
Yeah I want a witness (I want a witness)
Somebody (can I get a witness)
Is it right to be treated so bad
When you give it everything you had

[Verse 4]
If I talk, in my sleep
Because i haven't seen my baby all week
Yeah she caused me so much misery
That is not the way it's supposed to be
Let me hear
Let me hear you say yeah, yeah

[Outro]
I want a witness (can I get a witness)
I want a witness (can I get a witness)
I want be (can I get a witness)
I want a witness (can I get a witness)
Witness, witness
I want a witness"
"
You Can Make It If You Try Lyrics","[Chorus]
You can make it if you try[x3]
Yeah, yeah you can make it if you try

[Verse 1]
Sometime you had to fall
Do you know sometime you want to cry
Does it make you feel so bad sometime
You want to lay down and die
Yeh, yeh, you can make it if you try, ummmmmmm
If you are baby treats you wrong
Do not run around being blue
Remember my friend
Everybody cannot win
Because you know sometime, sometime
You got to lose

[Chorus]
You can make it if you try
They always told me
I could make it if I tried
I am going to make it if i try
Yeah, yeah, I am going to make it if I try
If you try"
